"year","emissions"
1960,780726.3
1961,552066.85
1962,440359.03
1963,436695.7
1964,436923.05
1965,475972.93
1966,522789.52
1967,433234.05
1968,468928.63
1969,577237.14
1970,771617.47
1971,876633.02
1972,931575.68
1973,968542.71
1974,988014.48
1975,1145607.47
1976,1196193.74
1977,1310310.78
1978,1462168.58
1979,1494859.88
1980,1467192.37
1981,1451501.28
1982,1580260.65
1983,1667029.2
1984,1814908.31
1985,1966553.43
1986,2068969.07
1987,2209708.53
1988,2369501.72
1989,2408540.61
1990,2460744.02
1991,2584538.27
1992,2695982.07
1993,2878694.01
1994,3058241.33
1995,3320285.15
1996,3463089.13
1997,3469510.05
1998,3324344.52
1999,3318055.61
2000,3405179.87
2001,3487566.36
2002,3694242.14
2003,4525177.01
2004,5288166.03
2005,5790016.98
2006,6414463.08
2007,6791804.71
2008,7035443.86
2009,7692210.9
2010,8256969.23
2011,9019518.22
