"year","emissions"
1960,2890696.1
1961,2880505.51
1962,2987207.87
1963,3119230.87
1964,3255995.31
1965,3390922.57
1966,3561878.11
1967,3695708.94
1968,3831354.94
1969,4024748.85
1970,4328904.5
1971,4356770.03
1972,4564952.96
1973,4770194.95
1974,4598487.67
1975,4406329.54
1976,4613100.67
1977,4742292.75
1978,4890861.25
1979,4901796.24
1980,4723209.68
1981,4535800.31
1982,4306748.49
1983,4341878.35
1984,4475192.13
1985,4492555.38
1986,4495463.31
1987,4688373.18
1988,4892526.07
1989,4955081.42
1990,4823557.13
1991,4822383.69
1992,4911103.09
1993,5032931.83
1994,5098475.79
1995,5138009.72
1996,5260696.54
1997,5375235.28
1998,5410918.86
1999,5510430.24
2000,5701829.3
2001,5601404.84
2002,5648727.47
2003,5679222.25
2004,5763456.9
2005,5795161.79
2006,5703871.82
2007,5794923.43
2008,5622464.42
2009,5274132.42
2010,5408869
2011,5305569.61
