"time","Argentina [ARG]","Bolivia [BOL]","Brazil [BRA]","Chile [CHL]","Colombia [COL]","Costa Rica [CRI]","Cuba [CUB]","Dominican Republic [DOM]","Ecuador [ECU]","El Salvador [SLV]","Guatemala [GTM]","Honduras [HND]","Italy [ITA]","Mexico [MEX]","Nicaragua [NIC]","Panama [PAN]","Paraguay [PRY]","Peru [PER]","Portugal [PRT]","Spain [ESP]","Uruguay [URY]","Venezuela, RB [VEN]"
1960,48815.1,1004.76,46908.26,13490.89,16409.83,491.38,13699.91,1041.43,1763.83,619.72,1345.79,616.06,109357.27,63116.4,531.72,997.42,304.36,8173.74,8225.08,48928.78,4319.73,57069.52
1961,51180.32,1041.43,49203.81,14473.65,18217.66,491.38,12181.77,1030.43,1646.48,583.05,1408.13,737.07,124549.66,65305.6,561.05,1103.77,363.03,8643.12,9090.49,53677.55,4121.71,51928.39
1962,53695.88,1100.1,53695.88,16725.19,19442.43,550.05,14169.29,1243.11,1565.81,649.06,1382.46,700.4,146456.31,63809.47,660.06,1191.78,392.37,9970.57,9303.18,60054.46,4011.7,54106.59
1963,50083.89,1213.78,55617.39,17355.91,21257.6,601.39,13039.85,1250.45,1796.83,1125.77,1521.81,711.4,164780.31,66361.7,843.41,1184.44,410.7,10234.6,10025.58,58822.35,4319.73,56204.11
1964,55727.4,1481.47,56735.82,17524.59,21708.64,674.73,14293.97,1749.16,2145.2,1232.11,1771.16,722.4,175957.33,74278.75,949.75,1243.11,432.71,12266.12,11023,64410.86,4558.08,56603.81
1965,58866.35,1510.8,56398.46,17766.62,22885.75,847.08,14609.33,1547.47,2277.21,1041.43,1976.51,751.74,189767.25,75246.84,781.07,1529.14,550.05,11965.42,11598.72,71117.8,5522.5,60787.86
1966,63138.41,1690.49,64304.51,18793.38,23501.8,993.76,15185.05,1672.15,2420.22,1305.45,1741.83,806.74,214248.14,80930.69,960.75,1657.48,513.38,13256.21,11851.74,77729.4,5405.16,57029.18
1967,65543.96,1892.17,66193.02,19259.08,24715.58,876.41,15749.77,1569.48,2592.57,1158.77,1983.85,876.41,234427.64,90101.86,1081.77,1697.82,487.71,13655.91,12409.13,86519.2,4884.44,65815.32
1968,69082.61,2178.2,77421.37,21224.6,26604.09,1037.76,16035.79,2350.55,3116.95,1261.45,2141.53,1224.78,249495.35,93988.88,1232.11,2020.52,590.39,14502.99,13010.52,97157.17,4884.44,65635.63
1969,77329.7,2548.57,84315.33,22555.72,28048.88,1147.77,17260.57,2654.91,3593.66,1191.78,2280.87,1177.11,270008.54,102287.3,1287.12,2053.52,520.71,15302.39,14613,96882.14,5595.84,68998.27
